Experiment,Iteration,Time
20,12,1.305
20,13,1.321
20,14,1.313
20,15,1.322
20,16,1.327
20,17,1.311
20,18,1.298
20,19,1.309
20,20,1.314
20,21,1.306
20,22,1.303
20,23,1.301
20,24,1.397
20,25,1.417
20,26,1.331
20,27,1.314
20,28,1.317
20,29,1.32
20,30,1.302
20,31,1.311
20,32,1.306
20,33,1.301
20,34,1.301
20,35,1.308
20,36,1.308
20,37,1.343
20,38,1.344
20,39,1.335
20,40,1.325
20,41,1.307
20,42,1.447
20,43,1.377
20,44,1.319
20,45,1.296
20,46,1.319
20,47,1.347
20,48,1.348
20,49,1.308
20,50,1.316
21,1,0.245
21,2,0.246
21,3,0.25
21,4,0.245
21,5,0.249
21,6,0.244
21,7,0.24
21,8,0.242
21,9,0.251
21,10,0.244
21,11,0.261
21,12,0.247
21,13,0.262
21,14,0.243
21,15,0.259
21,16,0.253
21,17,0.245
21,18,0.26
21,19,0.261
21,20,0.252
21,21,0.24
21,22,0.243
21,23,0.246
21,24,0.26
21,25,0.256
21,26,0.266
21,27,0.258
21,28,0.255
21,29,0.246
21,30,0.24
21,31,0.25
21,32,0.258
21,33,0.253
21,34,0.247
21,35,0.254
21,36,0.252
21,37,0.258
21,38,0.248
21,39,0.256
21,40,0.254
21,41,0.25
21,42,0.246
21,43,0.259
21,44,0.254
21,45,0.249
21,46,0.247
21,47,0.241
21,48,0.248
21,49,0.248
21,50,0.25
22,1,1.316
22,2,1.296
22,3,1.328
22,4,1.322
22,5,1.306
22,6,1.312
22,7,1.313
22,8,1.313
22,9,1.325
22,10,1.313
22,11,1.317
22,12,1.324
22,13,1.316
22,14,1.305
22,15,1.325
22,16,1.315
22,17,1.305
22,18,1.319
22,19,1.327
22,20,1.311
22,21,1.317
22,22,1.309
22,23,1.322
22,24,1.322
22,25,1.313
22,26,1.311
22,27,1.312
22,28,1.318
22,29,1.315
22,30,1.32
22,31,1.299
22,32,1.293
22,33,1.307
22,34,1.308
22,35,1.317
22,36,1.335
22,37,1.326
22,38,1.32
22,39,1.315
22,40,1.326
22,41,1.321
22,42,1.319
22,43,1.33
22,44,1.313
22,45,1.404
22,46,1.338
22,47,1.287
22,48,1.308
22,49,1.322
22,50,1.317
23,1,6.417
23,2,7.307
23,3,6.464
23,4,6.44
23,5,6.416
23,6,6.482
23,7,6.852
23,8,6.372
23,9,6.453
23,10,6.475
23,11,6.541
23,12,6.449
23,13,6.375
23,14,6.454
23,15,6.501
23,16,6.428
23,17,6.481
23,18,6.443
23,19,6.473
23,20,6.454
23,21,6.473
23,22,6.443
23,23,6.474
23,24,6.376
23,25,6.442
23,26,6.413
23,27,6.432
23,28,6.397
23,29,6.444
23,30,6.366
23,31,6.437
23,32,6.4
23,33,6.383
23,34,6.404
23,35,6.368
23,36,6.406
23,37,6.511
23,38,6.412
23,39,6.394
23,40,6.424
23,41,6.456
23,42,6.508
23,43,6.838
23,44,6.487
23,45,6.532
23,46,6.43
23,47,6.418
23,48,6.442
23,49,6.556
23,50,6.482
